machine_name,endpoint_url,opc_path,node_id,display_name,browse_name,data_type,parent_branch,sample_value,discovered_at
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/state/StopName,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.state.StopName,StopName,StopName,String,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Name,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Name,Name,Name,String,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Severity,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Severity,Severity,Severity,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[0]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[0].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[0]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[0].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[1]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[1].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[1]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[1].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[2]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[2].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[2]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[2].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[3]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[3].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[3]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[3].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[4]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[4].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[4]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[4].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[5]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[5].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[5]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[5].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[6]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[6].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[6]/utcOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[6].utcOffset,utcOffset,utcOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
Pinch 19,opc.tcp://192.168.11.22:4840,Objects/PLC/Modules/<Default>/Global PV/OPC/Alarmsystem/ActiveAlarms/Time/Time[7]/msOffset,ns=6;s=::AsGlobalPV:OPC.Alarmsystem.ActiveAlarms.Time[7].msOffset,msOffset,msOffset,Int32,Alarmsystem,,2026-06-10T16:50:54
